name,director,company,genre,year,gross
Furious 7,James Wan,Universal Pictures,Action,2015,353007020
Transformers: Dark of the Moon,Michael Bay,Paramount Pictures,Action,2011,352390543
American Sniper,Clint Eastwood,Warner Bros.,Action,2014,350126372
The Lord of the Rings: The Two Towers,Peter Jackson,New Line Cinema,Adventure,2002,342551365
Zootopia,Byron Howard,Walt Disney Pictures,Animation,2016,341268248
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Color Force,Action,2014,337135885
Spider-Man 3,Sam Raimi,Columbia Pictures,Action,2007,336530303
Minions,Kyle Balda,Illumination Entertainment,Animation,2015,336045770
Alice in Wonderland,Tim Burton,Walt Disney Pictures,Adventure,2010,334191110
Guardians of the Galaxy,James Gunn,Marvel Studios,Action,2014,333176600
Batman v Superman: Dawn of Justice,Zack Snyder,Warner Bros.,Action,2016,330360194
Forrest Gump,Robert Zemeckis,Paramount Pictures,Comedy,1994,330252182
Suicide Squad,David Ayer,Atlas Entertainment,Action,2016,325100054
Shrek the Third,Chris Miller,DreamWorks Animation,Animation,2007,320706665
Transformers,Michael Bay,DreamWorks,Action,2007,319071806
Iron Man,Jon Favreau,Paramount Pictures,Action,2008,318412101
Harry Potter and the Sorcerer's Stone,Chris Columbus,Warner Bros.,Adventure,2001,317575550
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Paramount Pictures,Action,2008,317101119
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,New Line Cinema,Adventure,2001,315544750
The Lion King,Roger Allers,Walt Disney Pictures,Animation,1994,312900000
Iron Man 2,Jon Favreau,Paramount Pictures,Action,2010,312433331
Star Wars: Episode II - Attack of the Clones,George Lucas,Lucasfilm,Action,2002,310675583
Pirates of the Caribbean: At World's End,Gore Verbinski,Walt Disney Pictures,Action,2007,309420425
Independence Day,Roland Emmerich,Twentieth Century Fox Film Corporation,Action,1996,306169255
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Walt Disney Pictures,Action,2003,305413918
Skyfall,Sam Mendes,Eon Productions,Action,2012,304360277
The Hobbit: An Unexpected Journey,Peter Jackson,New Line Cinema,Adventure,2012,303003568
Harry Potter and the Half-Blood Prince,David Yates,Warner Bros.,Adventure,2009,301959197
The Twilight Saga: Eclipse,David Slade,Summit Entertainment,Adventure,2010,300531751
The Twilight Saga: New Moon,Chris Weitz,Temple Hill Entertainment,Adventure,2009,296623634
Harry Potter and the Deathly Hallows: Part 1,David Yates,Warner Bros.,Adventure,2010,295983305
The Sixth Sense,M. Night Shyamalan,Hollywood Pictures,Drama,1999,293506292
Up,Pete Docter,Pixar Animation Studios,Animation,2009,293004164
Inception,Christopher Nolan,Warner Bros.,Action,2010,292576195
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Summit Entertainment,Adventure,2012,292298923
Harry Potter and the Order of the Phoenix,David Yates,Warner Bros.,Adventure,2007,292004738
The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,Andrew Adamson,Walt Disney Pictures,Adventure,2005,291709845
Man of Steel,Zack Snyder,Warner Bros.,Action,2013,291045518
Harry Potter and the Goblet of Fire,Mike Newell,Warner Bros.,Adventure,2005,290013036
Monsters  Inc.,Pete Docter,Pixar Animation Studios,Animation,2001,289916256
Home Alone,Chris Columbus,Hughes Entertainment,Comedy,1990,285761243
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Color Force,Action,2015,281723902
The Matrix Reloaded,Lana Wachowski,Warner Bros.,Action,2003,281492479
The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,Summit Entertainment,Adventure,2011,281287133
Meet the Fockers,Jay Roach,Universal Pictures,Comedy,2004,279261160
The Hangover,Todd Phillips,Warner Bros.,Comedy,2009,277322503
Gravity,Alfonso Cuarón,Warner Bros.,Drama,2013,274092705
Sing,Garth Jennings,Dentsu,Animation,2016,270329045
Monsters University,Dan Scanlon,Walt Disney Pictures,Animation,2013,268492764
Shrek,Andrew Adamson,DreamWorks Animation,Animation,2001,267665011
The Amazing Spider-Man,Marc Webb,Columbia Pictures,Action,2012,262030663
Harry Potter and the Chamber of Secrets,Chris Columbus,1492 Pictures,Adventure,2002,261988482
The Incredibles,Brad Bird,Pixar Animation Studios,Animation,2004,261441092
How the Grinch Stole Christmas,Ron Howard,Universal Pictures,Comedy,2000,260044825
Captain America: The Winter Soldier,Anthony Russo,Marvel Entertainment,Action,2014,259766572
The Hobbit: The Desolation of Smaug,Peter Jackson,Metro-Goldwyn-Mayer (MGM),Adventure,2013,258366855
The Lego Movie,Phil Lord,Warner Bros.,Animation,2014,257760692
Star Trek,J.J. Abrams,Paramount Pictures,Action,2009,257730019
I Am Legend,Francis Lawrence,Warner Bros.,Drama,2007,256386216
The Blind Side,John Lee Hancock,Alcon Entertainment,Biography,2009,255959475
The Hobbit: The Battle of the Five Armies,Peter Jackson,New Line Cinema,Adventure,2014,255119788
The Hangover Part II,Todd Phillips,Warner Bros.,Comedy,2011,254464305
Despicable Me,Pierre Coffin,Universal Pictures,Animation,2010,251513985
Batman,Tim Burton,Warner Bros.,Action,1989,251188924
Night at the Museum,Shawn Levy,Twentieth Century Fox Film Corporation,Adventure,2006,250863268
Men in Black,Barry Sonnenfeld,Columbia Pictures Corporation,Adventure,1997,250690539
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Warner Bros.,Adventure,2004,249358727
Moana,Ron Clements,Walt Disney Animation Studios,Animation,2016,248757044
Toy Story 2,John Lasseter,Pixar Animation Studios,Animation,1999,245852179
Transformers: Age of Extinction,Michael Bay,Paramount Pictures,Action,2014,245439076
Cars,John Lasseter,Pixar Animation Studios,Animation,2006,244082982
Bruce Almighty,Tom Shadyac,Spyglass Entertainment,Comedy,2003,242829261
Twister,Jan de Bont,Warner Bros.,Action,1996,241721524
Casarse... está en griego,Joel Zwick,Gold Circle Films,Comedy,2002,241438208
Maleficent,Robert Stromberg,Roth Films,Action,2014,241410378
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Walt Disney Pictures,Action,2011,241071802
Fast & Furious 6,Justin Lin,Universal Pictures,Action,2013,238679850
Shrek Forever After,Mike Mitchell,DreamWorks Animation,Animation,2010,238371987
Brave,Mark Andrews,Walt Disney Pictures,Animation,2012,237283207
Oz the Great and Powerful,Sam Raimi,Walt Disney Pictures,Adventure,2013,234911825
X-Men III: La batalla final,Brett Ratner,Twentieth Century Fox Film Corporation,Action,2006,234362462
War of the Worlds,Steven Spielberg,Paramount Pictures,Adventure,2005,234280354
Fantastic Beasts and Where to Find Them,David Yates,Heyday Films,Adventure,2016,234037575
X-Men: Days of Future Past,Bryan Singer,Twentieth Century Fox Film Corporation,Action,2014,233921534
Cast Away,Robert Zemeckis,Twentieth Century Fox Film Corporation,Adventure,2000,233632142
Doctor Strange,Scott Derrickson,Marvel Studios,Action,2016,232641920
The Lost World: Jurassic Park,Steven Spielberg,Universal Pictures,Action,1997,229086679
Star Trek Into Darkness,J.J. Abrams,Paramount Pictures,Action,2013,228778661
The Martian,Ridley Scott,Twentieth Century Fox Film Corporation,Adventure,2015,228433663
Signs,M. Night Shyamalan,Touchstone Pictures,Drama,2002,227966634
Hancock,Peter Berg,Columbia Pictures,Action,2008,227946274
The Bourne Ultimatum,Paul Greengrass,Universal Pictures,Action,2007,227471070
Rush Hour 2,Brett Ratner,New Line Cinema,Action,2001,226164286
WALL·E,Andrew Stanton,FortyFour Studios,Animation,2008,223808164
Big Hero 6,Don Hall,FortyFour Studios,Animation,2014,222527828
National Treasure: Book of Secrets,Jon Turteltaub,Walt Disney Pictures,Action,2007,219964115
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Fox 2000 Pictures,Animation,2009,219614612
Mrs. Doubtfire,Chris Columbus,Twentieth Century Fox Film Corporation,Comedy,1993,219200000
Beauty and the Beast,Gary Trousdale,Walt Disney Pictures,Animation,1991,218967620
Ted,Seth MacFarlane,Universal Pictures,Comedy,2012,218815487
King Kong,Peter Jackson,Universal Pictures,Action,2005,218080025
Ghost,Jerry Zucker,Paramount Pictures,Drama,1990,217631306
How to Train Your Dragon,Dean DeBlois,DreamWorks Animation,Animation,2010,217581231
The Da Vinci Code,Ron Howard,Columbia Pictures,Mystery,2006,217536138
Aladdin,Ron Clements,Walt Disney Pictures,Animation,1992,217350219
Alvin and the Chipmunks,Tim Hill,Fox 2000 Pictures,Animation,2007,217326974
Saving Private Ryan,Steven Spielberg,DreamWorks,Drama,1998,216540909
Madagascar 3: Europe's Most Wanted,Eric Darnell,DreamWorks Animation,Animation,2012,216391482
Kung Fu Panda,Mark Osborne,DreamWorks Animation,Animation,2008,215434591
Mission: Impossible II,John Woo,Paramount Pictures,Action,2000,215409889
X-Men 2,Bryan Singer,Twentieth Century Fox Film Corporation,Action,2003,214949694
The Lorax,Chris Renaud,Universal Pictures,Animation,2012,214030500
Austin Powers in Goldmember,Jay Roach,New Line Cinema,Action,2002,213307889
300,Zack Snyder,Warner Bros.,Action,2006,210614939
Fast Five,Justin Lin,Universal Pictures,Action,2011,209837675
Mission: Impossible - Ghost Protocol,Brad Bird,Paramount Pictures,Action,2011,209397903
Wedding Crashers,David Dobkin,New Line Cinema,Comedy,2005,209218368
Sherlock Holmes,Guy Ritchie,Warner Bros.,Action,2009,209028679
Dawn of the Planet of the Apes,Matt Reeves,Chernin Entertainment,Action,2014,208545589
Batman Begins,Christopher Nolan,Warner Bros.,Action,2005,206852432
Charlie and the Chocolate Factory,Tim Burton,Warner Bros.,Adventure,2005,206459076
Ratatouille,Brad Bird,Pixar Animation Studios,Animation,2007,206445654
Thor: The Dark World,Alan Taylor,Marvel Studios,Action,2013,206362140
Austin Powers: The Spy Who Shagged Me,Jay Roach,New Line Cinema,Action,1999,206040086
Terminator 2: Judgment Day,James Cameron,Carolco Pictures,Action,1991,204843350
The Amazing Spider-Man 2,Marc Webb,Marvel Enterprises,Action,2014,202853933
World War Z,Marc Forster,Paramount Pictures,Action,2013,202359711
The Mummy Returns,Stephen Sommers,Universal Pictures,Action,2001,202019785
Armageddon,Michael Bay,Touchstone Pictures,Action,1998,201573391
Cinderella,Kenneth Branagh,Allison Shearmur Productions,Drama,2015,201151353
Tangled,Nathan Greno,Walt Disney Animation Studios,Animation,2010,200821936
Godzilla,Gareth Edwards,Warner Bros.,Action,2014,200676069
Superman Returns,Bryan Singer,Warner Bros.,Action,2006,200081192
Spectre,Sam Mendes,B24,Action,2015,200074175
Pearl Harbor,Michael Bay,Touchstone Pictures,Action,2001,198542554
Monsters vs. Aliens,Rob Letterman,DreamWorks Animation,Animation,2009,198351526
Happy Feet,George Miller,Warner Bros.,Animation,2006,198000317
Indiana Jones and the Last Crusade,Steven Spielberg,Paramount Pictures,Action,1989,197171806
Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,Twentieth Century Fox Animation,Animation,2009,196573705
Ice Age: The Meltdown,Carlos Saldanha,Twentieth Century Fox Animation,Animation,2006,195330621
Misión: imposible 5 - Nación secreta,Christopher McQuarrie,Paramount Pictures,Action,2015,195042377
Madagascar,Eric Darnell,DreamWorks Animation,Animation,2005,193595521
Toy Story,John Lasseter,Pixar Animation Studios,Animation,1995,191796233
22 Jump Street,Phil Lord,Columbia Pictures,Action,2014,191719337
Twilight,Catherine Hardwicke,Summit Entertainment,Drama,2008,191465414
Cars 2,John Lasseter,Walt Disney Pictures,Animation,2011,191452396
Teenage Mutant Ninja Turtles,Jonathan Liebesman,Paramount Pictures,Action,2014,191204754
Men in Black II,Barry Sonnenfeld,Columbia Pictures Corporation,Action,2002,190418803
Wreck-It Ralph,Rich Moore,Walt Disney Animation Studios,Animation,2012,189422889
Interstellar,Christopher Nolan,Paramount Pictures,Adventure,2014,188020017
Gladiator,Ridley Scott,DreamWorks,Action,2000,187705427
The Croods,Kirk De Micco,DreamWorks Animation,Animation,2013,187168425
Sherlock Holmes: A Game of Shadows,Guy Ritchie,Warner Bros.,Action,2011,186848418
The Day After Tomorrow,Roland Emmerich,Twentieth Century Fox Film Corporation,Action,2004,186740799
Mr. & Mrs. Smith,Doug Liman,Regency Enterprises,Action,2005,186336279
Pitch Perfect 2,Elizabeth Banks,Brownstone Productions (II),Comedy,2015,184296230
Dances with Wolves,Kevin Costner,Tig Productions,Adventure,1990,184208848
Batman Forever,Joel Schumacher,Warner Bros.,Action,1995,184031112
The Fugitive,Andrew Davis,Warner Bros.,Action,1993,183875760
Revenant: El Renacido,Alejandro González Iñárritu,Regency Enterprises,Adventure,2015,183637894
Ocean's Eleven,Steven Soderbergh,Warner Bros.,Crime,2001,183405771
The Polar Express,Robert Zemeckis,Castle Rock Entertainment,Animation,2004,183373735
The Simpsons Movie,David Silverman,Twentieth Century Fox Film Corporation,Animation,2007,183135014
What Women Want,Nancy Meyers,Paramount Pictures,Comedy,2000,182811707
The Perfect Storm,Wolfgang Petersen,Warner Bros.,Action,2000,182618434
Lincoln,Steven Spielberg,DreamWorks,Biography,2012,182207973
Liar Liar,Tom Shadyac,Universal Pictures,Comedy,1997,181410615
Jurassic Park III,Joe Johnston,Universal Pictures,Action,2001,181171875
Thor,Kenneth Branagh,Paramount Pictures,Action,2011,181030624
Mission: Impossible,Brian De Palma,Paramount Pictures,Action,1996,180981856
Ant-Man,Peyton Reed,Gary Sanchez Productions,Action,2015,180202163
Planet of the Apes,Tim Burton,Twentieth Century Fox Film Corporation,Action,2001,180011740
Madagascar: Escape 2 Africa,Eric Darnell,DreamWorks Animation,Animation,2008,180010950
X-Men Origins: Wolverine,Gavin Hood,Twentieth Century Fox Film Corporation,Action,2009,179883157
Top Gun,Tony Scott,Paramount Pictures,Action,1986,179800601
Hitch,Andy Tennant,Columbia Pictures Corporation,Comedy,2005,179495555
Men in Black 3,Barry Sonnenfeld,Columbia Pictures,Action,2012,179020854
Pretty Woman,Garry Marshall,Touchstone Pictures,Comedy,1990,178406268
Home,Tim Johnson,DreamWorks Animation,Animation,2015,177397510
Night at the Museum: Battle of the Smithsonian,Shawn Levy,Twentieth Century Fox Film Corporation,Adventure,2009,177243721
How to Train Your Dragon 2,Dean DeBlois,DreamWorks Animation,Animation,2014,177002924
Rise of the Planet of the Apes,Rupert Wyatt,Twentieth Century Fox Film Corporation,Action,2011,176760185
Captain America: The First Avenger,Joe Johnston,Paramount Pictures,Action,2011,176654505
The Karate Kid,Harald Zwart,Columbia Pictures,Action,2010,176591618
There's Something About Mary,Bobby Farrelly,Twentieth Century Fox Film Corporation,Comedy,1998,176484651
Ice Age,Chris Wedge,Twentieth Century Fox Film Corporation,Animation,2002,176387405
The Bourne Supremacy,Paul Greengrass,Universal Pictures,Action,2004,176241941
Crocodile Dundee,Peter Faiman,Rimfire Films,Adventure,1986,174635000
Apollo 13,Ron Howard,Universal Pictures,Adventure,1995,173837933
Home Alone 2: Lost in New York,Chris Columbus,Twentieth Century Fox Film Corporation,Adventure,1992,173585516
Elf,Jon Favreau,New Line Cinema,Comedy,2003,173398518
National Treasure,Jon Turteltaub,Walt Disney Pictures,Action,2004,173008894
Air Force One,Wolfgang Petersen,Columbia Pictures Corporation,Action,1997,172956409
Rain Man,Barry Levinson,United Artists,Drama,1988,172825435
TRON: Legacy,Joseph Kosinski,Walt Disney Pictures,Action,2010,172062763
The Matrix,Lana Wachowski,Warner Bros.,Action,1999,171479930
True Grit,Ethan Coen,Paramount Pictures,Adventure,2010,171243005
Tarzan,Chris Buck,Walt Disney Pictures,Animation,1999,171091819
A Beautiful Mind,Ron Howard,Universal Pictures,Biography,2001,170742341
Chicago,Rob Marshall,Miramax,Comedy,2002,170687518
The Help,Tate Taylor,DreamWorks,Drama,2011,169708112
Hotel Transylvania 2,Genndy Tartakovsky,Columbia Pictures,Animation,2015,169700110
Hidden Figures,Theodore Melfi,Levantine Films,Biography,2016,169380936
Bridesmaids,Paul Feig,Universal Pictures,Comedy,2011,169106725
Quantum of Solace,Marc Forster,Metro-Goldwyn-Mayer (MGM),Action,2008,168368427
Wild Hogs,Walt Becker,Touchstone Pictures,Action,2007,168273550
3 Men and a Baby,Leonard Nimoy,Interscope Communications,Comedy,1987,167780960
Gone Girl,David Fincher,Twentieth Century Fox Film Corporation,Crime,2014,167767189
Casino Royale,Martin Campbell,Columbia Pictures,Action,2006,167445960
Meet the Parents,Jay Roach,Universal Pictures,Comedy,2000,166244045
Fifty Shades of Grey,Sam Taylor-Johnson,Focus Features,Drama,2015,166167230
2012,Roland Emmerich,Columbia Pictures,Action,2009,166112167
Robin Hood: Prince of Thieves,Kevin Reynolds,Warner Bros.,Action,1991,165500000
Kung Fu Panda 2,Jennifer Yuh Nelson,DreamWorks Animation,Animation,2011,165249063
Hannibal,Ridley Scott,Metro-Goldwyn-Mayer (MGM),Crime,2001,165092268
Catch Me If You Can,Steven Spielberg,DreamWorks,Biography,2002,164615351
The Proposal,Anne Fletcher,Touchstone Pictures,Comedy,2009,163958031
The Pursuit of Happyness,Gabriele Muccino,Columbia Pictures Corporation,Biography,2006,163566459
Big Daddy,Dennis Dugan,Jack Giarraputo Productions,Comedy,1999,163479795
Clash of the Titans,Louis Leterrier,Warner Bros.,Action,2010,163214888
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Paramount Animation,Animation,2015,162994032
Batman Returns,Tim Burton,Warner Bros.,Action,1992,162831698
Django Unchained,Quentin Tarantino,The Weinstein Company,Drama,2012,162805434
A Bug's Life,John Lasseter,Pixar Animation Studios,Animation,1998,162798565
Jason Bourne,Paul Greengrass,Captivate Entertainment,Action,2016,162434410
Grown Ups,Dennis Dugan,Columbia Pictures,Comedy,2010,162001186
The Waterboy,Frank Coraci,Robert Simonds Productions,Comedy,1998,161491646
Ice Age: Continental Drift,Steve Martino,Blue Sky Studios,Animation,2012,161321843
Straight Outta Compton,F. Gary Gray,Universal Pictures,Biography,2015,161197785
Die Another Day,Lee Tamahori,Eon Productions,Action,2002,160942139
Shark Tale,Bibo Bergeron,DreamWorks Animation,Animation,2004,160861908
The Heat,Paul Feig,Twentieth Century Fox Film Corporation,Action,2013,159582188
Star Trek Beyond,Justin Lin,Paramount Pictures,Action,2016,158848340
The Firm,Sydney Pollack,Davis Entertainment,Drama,1993,158348367
The Longest Yard,Peter Segal,Paramount Pictures,Comedy,2005,158119460
X-Men,Bryan Singer,Twentieth Century Fox Film Corporation,Action,2000,157299717
Scary Movie,Keenen Ivory Wayans,Dimension Films,Comedy,2000,157019771
Fatal Attraction,Adrian Lyne,Paramount Pictures,Drama,1987,156645693
Who Framed Roger Rabbit,Robert Zemeckis,Touchstone Pictures,Animation,1988,156452370
What Lies Beneath,Robert Zemeckis,DreamWorks,Drama,2000,155464351
X-Men: Apocalypse,Bryan Singer,Twentieth Century Fox Film Corporation,Action,2016,155442489
Snow White and the Huntsman,Rupert Sanders,Roth Films,Action,2012,155332381
The Mummy,Stephen Sommers,Universal Pictures,Action,1999,155247825
San Andreas,Brad Peyton,Village Roadshow Pictures,Action,2015,155190832
Fast & Furious,Justin Lin,Universal Pictures,Action,2009,155064265
Over the Hedge,Tim Johnson,DreamWorks Animation,Animation,2006,155019340
Fantastic Four,Tim Story,Twentieth Century Fox Film Corporation,Action,2005,154696080
Horton Hears a Who!,Jimmy Hayward,Blue Sky Studios,Animation,2008,154529439
Jerry Maguire,Cameron Crowe,TriStar Pictures,Comedy,1996,153952592
Trolls,Mike Mitchell,DreamWorks Animation,Animation,2016,153707064
Beverly Hills Cop II,Tony Scott,Paramount Pictures,Action,1987,153665000
Mad Max: Fury Road,George Miller,Warner Bros. Pictures,Action,2015,153636354
Scooby-Doo,Raja Gosnell,Warner Bros.,Animation,2002,153288182
Sex and the City,Michael Patrick King,New Line Cinema,Comedy,2008,152647258
G.I. Joe: The Rise of Cobra,Stephen Sommers,Paramount Pictures,Action,2009,152267519
Runaway Bride,Garry Marshall,Paramount Pictures,Comedy,1999,152257509
La La Land,Damien Chazelle,Summit Entertainment,Comedy,2016,151101803
Divergent,Neil Burger,Summit Entertainment,Adventure,2014,150947895
We're the Millers,Rawson Marshall Thurber,New Line Cinema,Comedy,2013,150394119
Terminator 3: Rise of the Machines,Jonathan Mostow,C-2 Pictures,Action,2003,150371112
Daddy's Home,Sean Anders,Paramount Pictures,Comedy,2015,150357137
Neighbors,Nicholas Stoller,Good Universe,Comedy,2014,150157400
American Hustle,David O. Russell,Columbia Pictures,Crime,2013,150117807
Puss in Boots,Chris Miller,DreamWorks Animation,Animation,2011,149260504
Les Misérables,Tom Hooper,Working Title Films,Drama,2012,148809770
Knocked Up,Judd Apatow,Universal Pictures,Comedy,2007,148734225
As Good as It Gets,James L. Brooks,TriStar Pictures,Comedy,1997,148478011
Megamind,Tom McGrath,DreamWorks Animation,Animation,2010,148415853
Little Fockers,Paul Weitz,Universal Pictures,Comedy,2010,148383780
Hotel Transylvania,Genndy Tartakovsky,Columbia Pictures,Animation,2012,148313048
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,Columbia Pictures,Action,2006,148213377
Gran Torino,Clint Eastwood,Matten Productions,Drama,2008,148095302
Lethal Weapon 2,Richard Donner,Warner Bros.,Action,1989,147253986
X-Men: First Class,Matthew Vaughn,Twentieth Century Fox Film Corporation,Action,2011,146408305
True Lies,James Cameron,Twentieth Century Fox Film Corporation,Action,1994,146282411
Lilo & Stitch,Dean DeBlois,Walt Disney Pictures,Animation,2002,145794338
American Pie 2,J.B. Rogers,LivePlanet,Comedy,2001,145103595
Búsqueda implacable,Pierre Morel,EuropaCorp,Action,2008,145000989
El gran Gatsby,Baz Luhrmann,Warner Bros.,Drama,2013,144840419
The Santa Clause,John Pasquin,Walt Disney Pictures,Comedy,1994,144833357
I  Robot,Alex Proyas,Twentieth Century Fox Film Corporation,Action,2004,144801023
Lethal Weapon 3,Richard Donner,Warner Bros.,Action,1992,144731527
The Fast and the Furious,Rob Cohen,Universal Pictures,Action,2001,144533925
Doctor Dolittle,Betty Thomas,Twentieth Century Fox Film Corporation,Comedy,1998,144156605
Mamma Mia!,Phyllida Lloyd,Universal Pictures,Comedy,2008,144130063
Rio,Carlos Saldanha,Twentieth Century Fox Animation,Animation,2011,143619809
Kung Fu Panda 3,Alessandro Carloni,China Film Co.,Animation,2016,143528619
Juno,Jason Reitman,Fox Searchlight Pictures,Comedy,2007,143495265
Marley & Me,David Frankel,Fox 2000 Pictures,Comedy,2008,143153751
The Smurfs,Raja Gosnell,Columbia Pictures,Animation,2011,142614158
xXx,Rob Cohen,Revolution Studios,Action,2002,142109382
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Walt Disney Pictures,Action,2008,141621490
Pocahontas,Mike Gabriel,Walt Disney Pictures,Animation,1995,141600000
A Few Good Men,Rob Reiner,Columbia Pictures Corporation,Drama,1992,141340178
Slumdog Millionaire,Danny Boyle,Warner Bros.,Drama,2008,141319928
Rush Hour,Brett Ratner,New Line Cinema,Action,1998,141153686
The Blair Witch Project,Daniel Myrick,Haxan Films,Horror,1999,140539099
Deep Impact,Mimi Leder,Paramount Pictures,Action,1998,140464664
Rush Hour 3,Brett Ratner,New Line Cinema,Action,2007,140125968
Look Who's Talking,Amy Heckerling,TriStar Pictures,Comedy,1989,140088813
Stuart Little  un ratón en la familia,Rob Minkoff,Columbia Pictures Corporation,Adventure,1999,140035367
Búsqueda implacable 2,Olivier Megaton,EuropaCorp,Action,2012,139854287
Sister Act,Emile Ardolino,Touchstone Pictures,Comedy,1992,139610000
Matrix Revolutions,Lana Wachowski,Warner Bros.,Action,2003,139313948
The Santa Clause 2,Michael Lembeck,Walt Disney Pictures,Comedy,2002,139236327
The King's Speech,Tom Hooper,See-Saw Films,Biography,2010,138797449
Cheaper by the Dozen,Shawn Levy,Twentieth Century Fox Film Corporation,Comedy,2003,138614544
Bad Boys II,Michael Bay,Columbia Pictures Corporation,Action,2003,138608444
Platoon,Oliver Stone,Hemdale,Drama,1986,138530565
21 Jump Street,Phil Lord,Columbia Pictures,Action,2012,138447667
Good Will Hunting,Gus Van Sant,Be Gentlemen Limited Partnership,Drama,1997,138433435
Split,M. Night Shyamalan,Blinding Edge Pictures,Horror,2016,138141585
A Christmas Carol,Robert Zemeckis,Walt Disney Pictures,Animation,2009,137855863
Dinosaur,Eric Leighton,Walt Disney Pictures,Animation,2000,137748063
The Conjuring,James Wan,New Line Cinema,Horror,2013,137400141
Click,Frank Coraci,Columbia Pictures Corporation,Comedy,2006,137355633
The Green Mile,Frank Darabont,Castle Rock Entertainment,Crime,1999,136801374
Ransom,Ron Howard,Touchstone Pictures,Action,1996,136492681
Godzilla,Roland Emmerich,Centropolis Film Productions,Action,1998,136314294
101 Dalmatians,Stephen Herek,Walt Disney Pictures,Adventure,1996,136189294
Argo,Ben Affleck,Warner Bros.,Adventure,2012,136025503
Anger Management,Peter Segal,Revolution Studios,Comedy,2003,135645823
Chicken Little,Mark Dindal,Walt Disney Pictures,Animation,2005,135386665
Teenage Mutant Ninja Turtles,Steve Barron,888 Productions,Action,1990,135265915
Patch Adams,Tom Shadyac,Universal Pictures,Biography,1998,135026902
Ride Along,Tim Story,Cube Vision,Action,2014,134938200
Live Free or Die Hard,Len Wiseman,Twentieth Century Fox Film Corporation,Action,2007,134529403
The Incredible Hulk,Louis Leterrier,Universal Pictures,Action,2008,134518390
